v,vw,o,c,h,l,t,n
17935.0,171.7088,172.02,171.7,172.02,171.42,1711958400000,640
10876.0,171.8025,171.71,171.75,171.9,171.71,1711962000000,314
8184.0,171.6536,171.83,171.5,171.83,171.5,1711965600000,311
39928.0,171.5054,171.5,171.58,171.61,171.38,1711969200000,1105
140045.0,171.5404,171.57,171.5005,171.99,171.36,1711972800000,5457
6953699.0,170.5587,171.49,170.135,171.49,170.05,1711976400000,96761
7459696.0,170.0653,170.135,169.88,170.4521,169.82,1711980000000,158242
5558213.0,169.7812,169.885,169.6431,170.08,169.475,1711983600000,182265
2962908.0,169.8775,169.65,169.835,170.0,169.5803,1711987200000,57006
3004696.0,169.9383,169.835,169.9968,170.09,169.76,1711990800000,42561
2770181.0,169.9936,169.995,170.01,170.08,169.86,1711994400000,38040
7927843.0,170.0031,170.015,170.01,170.24,169.85,1711998000000,82064
2252835.0,170.0245,170.01,169.86,170.05,169.8,1712001600000,2846
46392.0,170.0454,169.87,169.84,170.03,169.75,1712005200000,1663
61005.0,169.6953,169.83,169.6874,169.84,169.6,1712008800000,1920
56542.0,169.5478,169.67,169.5,169.69,169.5,1712012400000,1898
