Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
Tennessee,Pittsburgh,09/10/2009,Bill Leavy,11,88,5,28,6,60,13,1,2009
Miami,Atlanta,09/13/2009,Walt Coleman,8,62,4,27,4,35,11,1,2009
Kansas City,Baltimore,09/13/2009,Gene Steratore,11,80,3,15,8,65,14,1,2009
Philadelphia,Carolina,09/13/2009,Jeff Triplette,14,106,9,76,5,30,14,1,2009
Denver,Cincinnati,09/13/2009,Jerome Boger,10,66,6,39,4,27,12,1,2009
Minnesota,Cleveland,09/13/2009,John Parry,11,104,3,38,8,66,12,1,2009
N.Y. Jets,Houston,09/13/2009,Ed Hochuli,16,117,10,80,6,37,19,1,2009
Jacksonville,Indianapolis,09/13/2009,Tony Corrente,6,41,3,24,3,17,6,1,2009
Detroit,New Orleans,09/13/2009,Mike Carey,15,116,8,80,7,36,17,1,2009
Dallas,Tampa Bay,09/13/2009,Al Riveron,7,56,4,41,3,15,9,1,2009
San Francisco,Arizona,09/13/2009,Don Carey,16,113,4,31,12,82,16,1,2009
Washington,N.Y. Giants,09/13/2009,Terry McAulay,8,62,4,32,4,30,12,1,2009
St. Louis,Seattle,09/13/2009,Pete Morelli,14,110,10,85,4,25,15,1,2009
Chicago,Green Bay,09/13/2009,Ron Winter,9,70,3,25,6,45,9,1,2009
Buffalo,New England,09/14/2009,Scott Green,15,126,9,71,6,55,16,1,2009
San Diego,Oakland,09/14/2009,Carl Cheffers,15,100,9,60,6,40,15,1,2009
Carolina,Atlanta,09/20/2009,Don Carey,12,75,6,35,6,40,14,2,2009
Minnesota,Detroit,09/20/2009,Carl Cheffers,11,88,5,43,6,45,12,2,2009
Cincinnati,Green Bay,09/20/2009,Ed Hochuli,24,176,13,100,11,76,27,2,2009
Arizona,Jacksonville,09/20/2009,Gene Steratore,15,108,7,58,8,50,15,2,2009
Oakland,Kansas City,09/20/2009,Walt Anderson,16,115,7,45,9,70,18,2,2009
New England,N.Y. Jets,09/20/2009,John Parry,19,144,11,89,8,55,21,2,2009
New Orleans,Philadelphia,09/20/2009,Al Riveron,10,58,3,13,7,45,16,2,2009
Houston,Tennessee,09/20/2009,Walt Coleman,14,104,6,40,8,64,23,2,2009
St. Louis,Washington,09/20/2009,Jerome Boger,11,80,6,45,5,35,13,2,2009
Tampa Bay,Buffalo,09/20/2009,Ron Winter,20,167,13,112,7,55,24,2,2009
Seattle,San Francisco,09/20/2009,Bill Leavy,12,99,6,45,6,54,13,2,2009
Pittsburgh,Chicago,09/20/2009,Scott Green,16,132,6,52,10,80,17,2,2009
Cleveland,Denver,09/20/2009,Pete Morelli,9,93,4,43,5,50,9,2,2009
Baltimore,San Diego,09/20/2009,Tony Corrente,16,117,4,32,12,85,18,2,2009
N.Y. Giants,Dallas,09/20/2009,Mike Carey,8,90,4,40,4,50,9,2,2009
Indianapolis,Miami,09/21/2009,Terry McAulay,8,40,4,20,4,20,10,2,2009
Cleveland,Baltimore,09/27/2009,Terry McAulay,13,130,5,46,8,84,19,3,2009
Pittsburgh,Cincinnati,09/27/2009,Gene Steratore,9,81,5,51,4,30,11,3,2009
Washington,Detroit,09/27/2009,Scott Green,17,155,9,97,8,58,17,3,2009
Jacksonville,Houston,09/27/2009,Ron Winter,10,100,5,40,5,60,11,3,2009
San Francisco,Minnesota,09/27/2009,Jerome Boger,16,112,7,60,9,52,18,3,2009
Atlanta,New England,09/27/2009,Al Riveron,9,64,7,54,2,10,9,3,2009
Kansas City,Philadelphia,09/27/2009,John Parry,13,110,10,90,3,20,14,3,2009
Green Bay,St. Louis,09/27/2009,Walt Coleman,12,91,6,51,6,40,14,3,2009
N.Y. Giants,Tampa Bay,09/27/2009,Jeff Triplette,10,85,5,60,5,25,12,3,2009
New Orleans,Buffalo,09/27/2009,Walt Anderson,21,213,9,97,12,116,23,3,2009
Chicago,Seattle,09/27/2009,Don Carey,11,105,7,60,4,45,12,3,2009
Tennessee,N.Y. Jets,09/27/2009,Mike Carey,6,40,3,15,3,25,6,3,2009
Denver,Oakland,09/27/2009,Ed Hochuli,11,83,5,30,6,53,15,3,2009
Miami,San Diego,09/27/2009,Bill Leavy,10,59,7,39,3,20,10,3,2009
Indianapolis,Arizona,09/27/2009,Pete Morelli,12,104,7,69,5,35,15,3,2009
Carolina,Dallas,09/28/2009,Tony Corrente,15,140,6,60,9,80,15,3,2009
Detroit,Chicago,10/04/2009,Walt Coleman,10,87,7,51,3,36,13,4,2009
Cincinnati,Cleveland,10/04/2009,Scott Green,11,90,6,46,5,44,15,4,2009
Oakland,Houston,10/04/2009,Don Carey,10,65,9,60,1,5,13,4,2009
Seattle,Indianapolis,10/04/2009,Mike Carey,13,93,6,45,7,48,14,4,2009
Tennessee,Jacksonville,10/04/2009,Al Riveron,10,98,6,68,4,30,11,4,2009
N.Y. Giants,Kansas City,10/04/2009,Jerome Boger,15,109,8,54,7,55,21,4,2009
Baltimore,New England,10/04/2009,Ron Winter,14,126,9,85,5,41,18,4,2009
Tampa Bay,Washington,10/04/2009,Ed Hochuli,9,80,5,40,4,40,10,4,2009
Buffalo,Miami,10/04/2009,Carl Cheffers,8,64,3,19,5,45,9,4,2009
N.Y. Jets,New Orleans,10/04/2009,Bill Leavy,10,91,3,21,7,70,10,4,2009
Dallas,Denver,10/04/2009,Walt Anderson,17,151,7,70,10,81,18,4,2009
St. Louis,San Francisco,10/04/2009,Tony Corrente,13,106,10,73,3,33,15,4,2009
San Diego,Pittsburgh,10/04/2009,Jeff Triplette,9,79,3,20,6,59,11,4,2009
Green Bay,Minnesota,10/05/2009,Gene Steratore,9,67,7,57,2,10,12,4,2009
Cincinnati,Baltimore,10/11/2009,Jeff Triplette,17,115,7,39,10,76,19,5,2009
Cleveland,Buffalo,10/11/2009,Jerome Boger,16,104,3,29,13,75,19,5,2009
Washington,Carolina,10/11/2009,Walt Coleman,9,47,4,20,5,27,11,5,2009
Pittsburgh,Detroit,10/11/2009,Ed Hochuli,12,125,6,59,6,66,15,5,2009
Dallas,Kansas City,10/11/2009,Ron Winter,20,140,13,90,7,50,23,5,2009
Oakland,N.Y. Giants,10/11/2009,John Parry,11,104,7,67,4,37,12,5,2009
Tampa Bay,Philadelphia,10/11/2009,Terry McAulay,14,141,4,30,10,111,17,5,2009
Minnesota,St. Louis,10/11/2009,Don Carey,12,126,5,44,7,82,14,5,2009
Atlanta,San Francisco,10/11/2009,Pete Morelli,16,182,8,90,8,92,20,5,2009
Houston,Arizona,10/11/2009,Tony Corrente,13,93,6,53,7,40,13,5,2009
New England,Denver,10/11/2009,Carl Cheffers,7,66,4,46,3,20,13,5,2009
Jacksonville,Seattle,10/11/2009,Scott Green,10,83,9,73,1,10,13,5,2009
Indianapolis,Tennessee,10/11/2009,Walt Anderson,16,137,7,48,9,89,19,5,2009
N.Y. Jets,Miami,10/12/2009,Al Riveron,14,168,6,56,8,112,15,5,2009
Houston,Cincinnati,10/18/2009,Bill Leavy,11,105,7,60,4,45,16,6,2009
Detroit,Green Bay,10/18/2009,Jerome Boger,19,170,6,40,13,130,22,6,2009
St. Louis,Jacksonville,10/18/2009,Jeff Triplette,8,62,6,52,2,10,8,6,2009
Baltimore,Minnesota,10/18/2009,Mike Carey,9,89,6,74,3,15,15,6,2009
N.Y. Giants,New Orleans,10/18/2009,Ed Hochuli,15,165,9,110,6,55,17,6,2009
Cleveland,Pittsburgh,10/18/2009,Walt Anderson,8,75,4,45,4,30,9,6,2009
Carolina,Tampa Bay,10/18/2009,John Parry,8,70,3,30,5,40,10,6,2009
Kansas City,Washington,10/18/2009,Tony Corrente,11,93,4,30,7,63,11,6,2009
Philadelphia,Oakland,10/18/2009,Pete Morelli,7,61,4,38,3,23,10,6,2009
Arizona,Seattle,10/18/2009,Carl Cheffers,13,132,7,76,6,56,14,6,2009
Tennessee,New England,10/18/2009,Gene Steratore,12,95,6,55,6,40,12,6,2009
Buffalo,N.Y. Jets,10/18/2009,Walt Coleman,22,160,8,64,14,96,27,6,2009
Chicago,Atlanta,10/18/2009,Terry McAulay,15,135,9,65,6,70,17,6,2009
Denver,San Diego,10/19/2009,Scott Green,8,92,4,48,4,44,13,6,2009
Chicago,Cincinnati,10/25/2009,Walt Anderson,9,64,6,44,3,20,11,7,2009
Green Bay,Cleveland,10/25/2009,Don Carey,13,110,8,70,5,40,13,7,2009
San Francisco,Houston,10/25/2009,Mike Carey,18,142,11,65,7,77,22,7,2009
San Diego,Kansas City,10/25/2009,Pete Morelli,16,100,9,59,7,41,16,7,2009
Minnesota,Pittsburgh,10/25/2009,Ron Winter,14,93,11,78,3,15,16,7,2009
Indianapolis,St. Louis,10/25/2009,Carl Cheffers,11,124,6,51,5,73,11,7,2009
New England,Tampa Bay,10/25/2009,Jerome Boger,16,121,10,66,6,55,18,7,2009
Buffalo,Carolina,10/25/2009,Terry McAulay,12,89,3,22,9,67,14,7,2009
N.Y. Jets,Oakland,10/25/2009,Gene Steratore,5,32,2,8,3,24,7,7,2009
Atlanta,Dallas,10/25/2009,Scott Green,11,80,3,30,8,50,15,7,2009
New Orleans,Miami,10/25/2009,John Parry,14,80,6,25,8,55,16,7,2009
Arizona,N.Y. Giants,10/25/2009,Al Riveron,14,90,7,60,7,30,14,7,2009
Philadelphia,Washington,10/26/2009,Bill Leavy,18,126,12,66,6,60,19,7,2009
Denver,Baltimore,11/01/2009,Walt Coleman,14,129,6,35,8,94,14,8,2009
Houston,Buffalo,11/01/2009,Gene Steratore,9,81,5,45,4,36,9,8,2009
Cleveland,Chicago,11/01/2009,Al Riveron,8,65,3,30,5,35,8,8,2009
Seattle,Dallas,11/01/2009,Jerome Boger,11,96,6,53,5,43,11,8,2009
St. Louis,Detroit,11/01/2009,Ron Winter,13,94,5,27,8,67,17,8,2009
Minnesota,Green Bay,11/01/2009,Tony Corrente,9,74,3,29,6,45,13,8,2009
San Francisco,Indianapolis,11/01/2009,Ed Hochuli,12,88,7,50,5,38,12,8,2009
Miami,N.Y. Jets,11/01/2009,Don Carey,10,65,4,25,6,40,11,8,2009
Oakland,San Diego,11/01/2009,Terry McAulay,11,71,6,31,5,40,12,8,2009
Jacksonville,Tennessee,11/01/2009,Pete Morelli,6,47,2,27,4,20,9,8,2009
Carolina,Arizona,11/01/2009,Mike Carey,12,107,7,72,5,35,14,8,2009
N.Y. Giants,Philadelphia,11/01/2009,Carl Cheffers,9,70,4,25,5,45,14,8,2009
Atlanta,New Orleans,11/02/2009,Jeff Triplette,11,90,4,25,7,65,13,8,2009
Washington,Atlanta,11/08/2009,Ron Winter,17,142,10,88,7,54,19,9,2009
Arizona,Chicago,11/08/2009,Ed Hochuli,11,104,2,15,9,89,12,9,2009
Baltimore,Cincinnati,11/08/2009,Al Riveron,13,120,7,80,6,40,15,9,2009
Houston,Indianapolis,11/08/2009,Jeff Triplette,17,143,13,103,4,40,22,9,2009
Kansas City,Jacksonville,11/08/2009,Bill Leavy,6,41,1,10,5,31,8,9,2009
Miami,New England,11/08/2009,Mike Carey,8,84,3,35,5,49,13,9,2009
Green Bay,Tampa Bay,11/08/2009,Pete Morelli,7,50,5,35,2,15,9,9,2009
Carolina,New Orleans,11/08/2009,Scott Green,13,92,6,37,7,55,14,9,2009
Detroit,Seattle,11/08/2009,John Parry,15,122,9,77,6,45,18,9,2009
San Diego,N.Y. Giants,11/08/2009,Walt Anderson,12,124,3,20,9,104,17,9,2009
Tennessee,San Francisco,11/08/2009,Carl Cheffers,13,83,8,58,5,25,16,9,2009
Dallas,Philadelphia,11/08/2009,Walt Coleman,19,152,11,70,8,82,19,9,2009
Pittsburgh,Denver,11/09/2009,Don Carey,7,53,4,28,3,25,8,9,2009
Chicago,San Francisco,11/12/2009,Ron Winter,19,152,10,75,9,77,24,10,2009
Atlanta,Carolina,11/15/2009,Bill Leavy,9,74,4,26,5,48,12,10,2009
Tampa Bay,Miami,11/15/2009,Tony Corrente,12,107,9,77,3,30,14,10,2009
Detroit,Minnesota,11/15/2009,Walt Anderson,17,131,4,40,13,91,21,10,2009
Jacksonville,N.Y. Jets,11/15/2009,Ed Hochuli,9,66,5,40,4,26,10,10,2009
Cincinnati,Pittsburgh,11/15/2009,Terry McAulay,12,137,7,87,5,50,13,10,2009
New Orleans,St. Louis,11/15/2009,Gene Steratore,10,60,6,40,4,20,12,10,2009
Buffalo,Tennessee,11/15/2009,John Parry,18,140,10,65,8,75,22,10,2009
Denver,Washington,11/15/2009,Pete Morelli,6,64,4,45,2,19,8,10,2009
Kansas City,Oakland,11/15/2009,Mike Carey,15,123,5,35,10,88,19,10,2009
Seattle,Arizona,11/15/2009,Walt Coleman,20,249,9,113,11,136,26,10,2009
