v,vw,o,c,h,l,t,n,date
2552.0,171.6774,172.02,171.65,172.02,171.42,1711958400000,66,2024-04-01 08:00:00
413.0,171.6645,171.7,171.7,171.7,171.7,1711958500000,5,2024-04-01 08:01:40
500.0,171.723,171.74,171.71,171.74,171.71,1711958520000,5,2024-04-01 08:02:00
1215.0,171.7324,171.75,171.75,171.75,171.75,1711958540000,17,2024-04-01 08:02:20
200.0,171.83,171.83,171.83,171.83,171.83,1711958680000,1,2024-04-01 08:04:40
239.0,171.6586,171.66,171.66,171.66,171.66,1711959040000,15,2024-04-01 08:10:40
300.0,171.6517,171.65,171.65,171.65,171.65,1711959110000,6,2024-04-01 08:11:50
162.0,171.6679,171.67,171.67,171.67,171.67,1711959230000,6,2024-04-01 08:13:50
169.0,171.67,171.67,171.67,171.67,171.67,1711959240000,3,2024-04-01 08:14:00
582.0,171.7607,171.76,171.77,171.77,171.76,1711959300000,12,2024-04-01 08:15:00
101.0,171.73,171.73,171.73,171.73,171.73,1711959560000,2,2024-04-01 08:19:20
500.0,171.738,171.74,171.74,171.74,171.74,1711959580000,8,2024-04-01 08:19:40
945.0,171.752,171.75,171.75,171.75,171.75,1711959990000,21,2024-04-01 08:26:30
125.0,171.708,171.71,171.71,171.71,171.71,1711960090000,4,2024-04-01 08:28:10
101.0,171.72,171.72,171.72,171.72,171.72,1711960630000,2,2024-04-01 08:37:10
1002.0,171.7293,171.72,171.72,171.72,171.72,1711960650000,34,2024-04-01 08:37:30
589.0,171.6996,171.71,171.7,171.71,171.7,1711960970000,27,2024-04-01 08:42:50
154.0,171.7,171.7,171.7,171.7,171.7,1711961280000,2,2024-04-01 08:48:00
302.0,171.65,171.65,171.65,171.65,171.65,1711961360000,13,2024-04-01 08:49:20
1103.0,171.6838,171.69,171.69,171.69,171.69,1711961620000,19,2024-04-01 08:53:40
200.0,171.69,171.69,171.69,171.69,171.69,1711961630000,1,2024-04-01 08:53:50
759.0,171.693,171.7,171.7,171.7,171.7,1711961670000,12,2024-04-01 08:54:30
1215.0,171.7493,171.75,171.75,171.75,171.75,1711961730000,17,2024-04-01 08:55:30
467.0,171.7119,171.7,171.7,171.7,171.7,1711961820000,13,2024-04-01 08:57:00
317.0,171.718,171.71,171.71,171.71,171.71,1711962100000,9,2024-04-01 09:01:40
3722.0,171.7878,171.78,171.8,171.8,171.78,1711962340000,70,2024-04-01 09:05:40
500.0,171.8001,171.8,171.8,171.8,171.8,1711962390000,4,2024-04-01 09:06:30
155.0,171.8002,171.8,171.8,171.8,171.8,1711962430000,3,2024-04-01 09:07:10
329.0,171.8539,171.85,171.85,171.85,171.85,1711962860000,9,2024-04-01 09:14:20
493.0,171.856,171.85,171.85,171.85,171.85,1711963120000,13,2024-04-01 09:18:40
326.0,171.847,171.85,171.85,171.85,171.85,1711963150000,4,2024-04-01 09:19:10
250.0,171.85,171.85,171.85,171.85,171.85,1711963220000,4,2024-04-01 09:20:20
500.0,171.85,171.85,171.85,171.85,171.85,1711963550000,4,2024-04-01 09:25:50
505.0,171.85,171.85,171.85,171.85,171.85,1711963750000,10,2024-04-01 09:29:10
351.0,171.8991,171.9,171.9,171.9,171.9,1711964090000,5,2024-04-01 09:34:50
226.0,171.8254,171.83,171.83,171.83,171.83,1711964180000,26,2024-04-01 09:36:20
383.0,171.7505,171.75,171.75,171.75,171.75,1711964260000,6,2024-04-01 09:37:40
500.0,171.763,171.76,171.76,171.76,171.76,1711964570000,7,2024-04-01 09:42:50
503.0,171.7504,171.75,171.75,171.75,171.75,1711965000000,17,2024-04-01 09:50:00
432.0,171.8276,171.83,171.83,171.83,171.83,1711965920000,13,2024-04-01 10:05:20
1772.0,171.7975,171.8,171.79,171.8,171.79,1711966910000,57,2024-04-01 10:21:50
467.0,171.7,171.7,171.7,171.7,171.7,1711967440000,17,2024-04-01 10:30:40
195.0,171.6535,171.65,171.65,171.65,171.65,1711967590000,31,2024-04-01 10:33:10
2143.0,171.5644,171.6,171.56,171.6,171.54,1711967620000,48,2024-04-01 10:33:40
100.0,171.63,171.63,171.63,171.63,171.63,1711967780000,1,2024-04-01 10:36:20
207.0,171.564,171.58,171.58,171.58,171.58,1711967900000,9,2024-04-01 10:38:20
433.0,171.6894,171.7,171.7,171.7,171.7,1711968400000,16,2024-04-01 10:46:40
255.0,171.6,171.6,171.6,171.6,171.6,1711969110000,20,2024-04-01 10:58:30
1314.0,171.5271,171.58,171.5,171.58,171.5,1711969130000,23,2024-04-01 10:58:50
2327.0,171.5536,171.5,171.6,171.6,171.5,1711969200000,70,2024-04-01 11:00:00
462.0,171.5963,171.59,171.6,171.6,171.59,1711969240000,4,2024-04-01 11:00:40
2245.0,171.6,171.6,171.6,171.6,171.6,1711969270000,11,2024-04-01 11:01:10
410.0,171.5999,171.6,171.6,171.6,171.6,1711969290000,6,2024-04-01 11:01:30
134.0,171.6,171.6,171.6,171.6,171.6,1711969300000,2,2024-04-01 11:01:40
597.0,171.6008,171.6,171.6,171.6,171.6,1711969400000,5,2024-04-01 11:03:20
103.0,171.6,171.6,171.6,171.6,171.6,1711969410000,2,2024-04-01 11:03:30
150.0,171.5813,171.58,171.58,171.58,171.58,1711969430000,3,2024-04-01 11:03:50
420.0,171.5814,171.58,171.58,171.58,171.58,1711969450000,10,2024-04-01 11:04:10
134.0,171.6,171.6,171.6,171.6,171.6,1711969540000,1,2024-04-01 11:05:40
603.0,171.5379,171.55,171.55,171.55,171.55,1711969600000,15,2024-04-01 11:06:40
834.0,171.5914,171.6,171.6,171.6,171.6,1711969620000,22,2024-04-01 11:07:00
504.0,171.598,171.6,171.6,171.6,171.6,1711969650000,7,2024-04-01 11:07:30
312.0,171.6057,171.61,171.61,171.61,171.61,1711969680000,5,2024-04-01 11:08:00
385.0,171.5565,171.56,171.56,171.56,171.56,1711969790000,9,2024-04-01 11:09:50
848.0,171.5598,171.56,171.58,171.58,171.56,1711969840000,16,2024-04-01 11:10:40
252.0,171.6045,171.6,171.6,171.6,171.6,1711969890000,5,2024-04-01 11:11:30
2944.0,171.508,171.51,171.5,171.51,171.5,1711969940000,79,2024-04-01 11:12:20
700.0,171.5,171.5,171.5,171.5,171.5,1711969950000,2,2024-04-01 11:12:30
2495.0,171.4804,171.5,171.48,171.5,171.48,1711969960000,176,2024-04-01 11:12:40
1038.0,171.4176,171.43,171.4,171.43,171.4,1711969980000,24,2024-04-01 11:13:00
505.0,171.4121,171.42,171.4,171.42,171.4,1711969990000,6,2024-04-01 11:13:10
2300.0,171.4104,171.41,171.41,171.41,171.41,1711970000000,4,2024-04-01 11:13:20
211.0,171.402,171.4,171.4,171.4,171.4,1711970100000,5,2024-04-01 11:15:00
307.0,171.45,171.45,171.45,171.45,171.45,1711970140000,2,2024-04-01 11:15:40
913.0,171.5,171.5,171.5,171.5,171.5,1711970260000,23,2024-04-01 11:17:40
248.0,171.4692,171.47,171.47,171.47,171.47,1711970510000,19,2024-04-01 11:21:50
1010.0,171.4953,171.49,171.5,171.5,171.49,1711970810000,12,2024-04-01 11:26:50
125.0,171.48,171.48,171.48,171.48,171.48,1711970820000,1,2024-04-01 11:27:00
300.0,171.45,171.45,171.45,171.45,171.45,1711971130000,3,2024-04-01 11:32:10
102.0,171.3801,171.38,171.38,171.38,171.38,1711971210000,3,2024-04-01 11:33:30
400.0,171.38,171.38,171.38,171.38,171.38,1711971260000,9,2024-04-01 11:34:20
902.0,171.38,171.38,171.38,171.38,171.38,1711971290000,7,2024-04-01 11:34:50
1592.0,171.3987,171.4,171.4,171.4,171.4,1711971320000,20,2024-04-01 11:35:20
215.0,171.467,171.47,171.47,171.47,171.47,1711971430000,3,2024-04-01 11:37:10
3140.0,171.4745,171.47,171.48,171.48,171.47,1711971510000,25,2024-04-01 11:38:30
633.0,171.5,171.5,171.5,171.5,171.5,1711971520000,12,2024-04-01 11:38:40
448.0,171.51,171.51,171.51,171.51,171.51,1711971730000,4,2024-04-01 11:42:10
189.0,171.54,171.54,171.54,171.54,171.54,1711971960000,2,2024-04-01 11:46:00
1834.0,171.5533,171.55,171.55,171.55,171.55,1711971980000,21,2024-04-01 11:46:20
300.0,171.55,171.55,171.55,171.55,171.55,1711972070000,6,2024-04-01 11:47:50
160.0,171.58,171.58,171.58,171.58,171.58,1711972620000,5,2024-04-01 11:57:00
45262.0,171.5072,171.57,171.4701,171.6458,171.37,1711972800000,542,2024-04-01 12:00:00
235.0,171.8755,171.95,171.95,171.95,171.95,1711972860000,42,2024-04-01 12:01:00
1139.0,171.8315,171.78,171.86,171.86,171.78,1711972890000,42,2024-04-01 12:01:30
1000.0,171.6498,171.6498,171.6498,171.6498,171.6498,1711972900000,1,2024-04-01 12:01:40
101.0,171.6474,171.6479,171.6479,171.6479,171.6479,1711972920000,2,2024-04-01 12:02:00
511.0,171.8403,171.84,171.84,171.84,171.84,1711972940000,21,2024-04-01 12:02:20
824.0,171.7329,171.62,171.88,171.88,171.62,1711972950000,41,2024-04-01 12:02:30
851.0,171.6287,171.6,171.6,171.6,171.6,1711972960000,40,2024-04-01 12:02:40
104.0,171.8838,171.9,171.9,171.9,171.9,1711972970000,5,2024-04-01 12:02:50
277.0,171.957,171.97,171.97,171.97,171.97,1711973000000,7,2024-04-01 12:03:20
213.0,171.9745,171.98,171.98,171.98,171.98,1711973010000,3,2024-04-01 12:03:30
189.0,171.8597,171.86,171.86,171.86,171.86,1711973020000,5,2024-04-01 12:03:40
3186.0,171.6184,171.6,171.63,171.63,171.6,1711973040000,54,2024-04-01 12:04:00
105.0,171.8867,171.89,171.89,171.89,171.89,1711973050000,2,2024-04-01 12:04:10
294.0,171.9086,171.98,171.8,171.98,171.8,1711973060000,9,2024-04-01 12:04:20
436.0,171.6214,171.6,171.6432,171.6432,171.6,1711973110000,12,2024-04-01 12:05:10
976.0,171.9244,171.94,171.92,171.94,171.92,1711973120000,15,2024-04-01 12:05:20
254.0,171.8508,171.85,171.85,171.85,171.85,1711973130000,9,2024-04-01 12:05:30
1085.0,171.9335,171.99,171.9,171.99,171.9,1711973150000,80,2024-04-01 12:05:50
4551.0,171.5061,171.56,171.5,171.56,171.5,1711973180000,54,2024-04-01 12:06:20
358.0,171.4873,171.48,171.4801,171.4801,171.48,1711973190000,6,2024-04-01 12:06:30
153.0,171.4703,171.47,171.47,171.47,171.47,1711973210000,16,2024-04-01 12:06:50
158.0,171.4883,171.49,171.49,171.49,171.49,1711973240000,8,2024-04-01 12:07:20
250.0,171.5,171.5,171.5,171.5,171.5,1711973250000,1,2024-04-01 12:07:30
2120.0,171.5,171.5,171.5,171.5,171.5,1711973260000,3,2024-04-01 12:07:40
218.0,171.5553,171.55,171.55,171.55,171.55,1711973330000,7,2024-04-01 12:08:50
200.0,171.54,171.54,171.54,171.54,171.54,1711973360000,1,2024-04-01 12:09:20
538.0,171.54,171.54,171.54,171.54,171.54,1711973370000,4,2024-04-01 12:09:30
603.0,171.4531,171.45,171.45,171.45,171.45,1711973470000,31,2024-04-01 12:11:10
295.0,171.4257,171.43,171.42,171.43,171.42,1711973490000,12,2024-04-01 12:11:30
384.0,171.4091,171.41,171.41,171.41,171.41,1711973510000,17,2024-04-01 12:11:50
1499.0,171.423,171.43,171.4016,171.43,171.4016,1711973570000,12,2024-04-01 12:12:50
1499.0,171.4173,171.4,171.4499,171.4499,171.4,1711973580000,6,2024-04-01 12:13:00
965.0,171.4496,171.45,171.45,171.45,171.45,1711973640000,21,2024-04-01 12:14:00
140.0,171.4,171.4,171.4,171.4,171.4,1711973660000,1,2024-04-01 12:14:20
571.0,171.5316,171.53,171.54,171.54,171.53,1711973690000,19,2024-04-01 12:14:50
100.0,171.5508,171.5508,171.5508,171.5508,171.5508,1711973850000,1,2024-04-01 12:17:30
201.0,171.5493,171.5495,171.5495,171.5495,171.5495,1711973860000,2,2024-04-01 12:17:40
100.0,171.5,171.5,171.5,171.5,171.5,1711973870000,1,2024-04-01 12:17:50
400.0,171.5,171.5,171.5,171.5,171.5,1711973880000,1,2024-04-01 12:18:00
100.0,171.5,171.5,171.5,171.5,171.5,1711973960000,1,2024-04-01 12:19:20
100.0,171.5,171.5,171.5,171.5,171.5,1711973970000,1,2024-04-01 12:19:30
105.0,171.5004,171.5,171.5,171.5,171.5,1711974000000,4,2024-04-01 12:20:00
500.0,171.5,171.5,171.5,171.5,171.5,1711974030000,2,2024-04-01 12:20:30
154.0,171.4165,171.42,171.42,171.42,171.42,1711974050000,4,2024-04-01 12:20:50
200.0,171.4138,171.4138,171.4138,171.4138,171.4138,1711974090000,1,2024-04-01 12:21:30
200.0,171.49,171.49,171.49,171.49,171.49,1711974110000,1,2024-04-01 12:21:50
108.0,171.47,171.47,171.47,171.47,171.47,1711974140000,2,2024-04-01 12:22:20
1107.0,171.4581,171.45,171.5361,171.5361,171.45,1711974150000,6,2024-04-01 12:22:30
100.0,171.5451,171.5451,171.5451,171.5451,171.5451,1711974160000,1,2024-04-01 12:22:40
250.0,171.4999,171.4999,171.4999,171.4999,171.4999,1711974170000,1,2024-04-01 12:22:50
200.0,171.475,171.45,171.5,171.5,171.45,1711974210000,2,2024-04-01 12:23:30
200.0,171.4509,171.4509,171.4509,171.4509,171.4509,1711974260000,1,2024-04-01 12:24:20
535.0,171.4515,171.45,171.45,171.45,171.45,1711974280000,8,2024-04-01 12:24:40
600.0,171.4174,171.41,171.41,171.41,171.41,1711974300000,20,2024-04-01 12:25:00
240.0,171.4217,171.42,171.42,171.42,171.42,1711974330000,2,2024-04-01 12:25:30
1830.0,171.4204,171.42,171.42,171.42,171.42,1711974350000,33,2024-04-01 12:25:50
420.0,171.4188,171.42,171.42,171.42,171.42,1711974370000,6,2024-04-01 12:26:10
530.0,171.4745,171.48,171.48,171.48,171.48,1711974400000,8,2024-04-01 12:26:40
507.0,171.4716,171.48,171.48,171.48,171.48,1711974420000,9,2024-04-01 12:27:00
101.0,171.4402,171.44,171.44,171.44,171.44,1711974430000,2,2024-04-01 12:27:10
237.0,171.48,171.48,171.48,171.48,171.48,1711974440000,2,2024-04-01 12:27:20
132.0,171.44,171.44,171.44,171.44,171.44,1711974450000,1,2024-04-01 12:27:30
333.0,171.44,171.44,171.44,171.44,171.44,1711974460000,1,2024-04-01 12:27:40
101.0,171.48,171.48,171.48,171.48,171.48,1711974490000,2,2024-04-01 12:28:10
2554.0,171.441,171.44,171.44,171.44,171.44,1711974610000,7,2024-04-01 12:30:10
105.0,171.44,171.44,171.44,171.44,171.44,1711974630000,1,2024-04-01 12:30:30
608.0,171.4375,171.44,171.43,171.44,171.43,1711974650000,10,2024-04-01 12:30:50
1260.0,171.4022,171.42,171.4,171.42,171.4,1711974690000,52,2024-04-01 12:31:30
403.0,171.4009,171.4,171.4,171.4,171.4,1711974700000,6,2024-04-01 12:31:40
101.0,171.4595,171.46,171.46,171.46,171.46,1711974730000,2,2024-04-01 12:32:10
200.0,171.4018,171.3637,171.44,171.44,171.3637,1711974750000,2,2024-04-01 12:32:30
280.0,171.4178,171.42,171.42,171.42,171.42,1711974780000,5,2024-04-01 12:33:00
125.0,171.402,171.4,171.4,171.4,171.4,1711974790000,2,2024-04-01 12:33:10
299.0,171.4,171.4,171.4,171.4,171.4,1711974850000,1,2024-04-01 12:34:10
947.0,171.4062,171.4588,171.4,171.4588,171.4,1711974860000,9,2024-04-01 12:34:20
319.0,171.4,171.4,171.4,171.4,171.4,1711974870000,3,2024-04-01 12:34:30
835.0,171.3816,171.38,171.38,171.38,171.38,1711974880000,21,2024-04-01 12:34:40
169.0,171.38,171.38,171.38,171.38,171.38,1711974890000,3,2024-04-01 12:34:50
500.0,171.36,171.36,171.36,171.36,171.36,1711974950000,1,2024-04-01 12:35:50
1006.0,171.41,171.41,171.41,171.41,171.41,1711974970000,7,2024-04-01 12:36:10
100.0,171.4,171.4,171.4,171.4,171.4,1711975020000,1,2024-04-01 12:37:00
3332.0,171.4574,171.47,171.48,171.48,171.47,1711975050000,83,2024-04-01 12:37:30
120.0,171.48,171.48,171.48,171.48,171.48,1711975060000,1,2024-04-01 12:37:40
250.0,171.5,171.5,171.5,171.5,171.5,1711975080000,1,2024-04-01 12:38:00
539.0,171.4772,171.48,171.48,171.48,171.48,1711975090000,12,2024-04-01 12:38:10
256.0,171.46,171.46,171.46,171.46,171.46,1711975280000,4,2024-04-01 12:41:20
107.0,171.4699,171.47,171.47,171.47,171.47,1711975330000,5,2024-04-01 12:42:10
1453.0,171.4999,171.5,171.5,171.5,171.5,1711975370000,27,2024-04-01 12:42:50
138.0,171.5235,171.52,171.52,171.52,171.52,1711975380000,10,2024-04-01 12:43:00
640.0,171.5986,171.59,171.6,171.6,171.59,1711975410000,18,2024-04-01 12:43:30
494.0,171.5856,171.59,171.58,171.59,171.58,1711975420000,13,2024-04-01 12:43:40
205.0,171.5989,171.6,171.6,171.6,171.6,1711975430000,5,2024-04-01 12:43:50
1000.0,171.57,171.57,171.57,171.57,171.57,1711975470000,2,2024-04-01 12:44:30
110.0,171.5101,171.5024,171.5024,171.5024,171.5024,1711975490000,2,2024-04-01 12:44:50
177.0,171.5003,171.5003,171.5003,171.5003,171.5003,1711975630000,1,2024-04-01 12:47:10
100.0,171.56,171.56,171.56,171.56,171.56,1711975650000,1,2024-04-01 12:47:30
341.0,171.5698,171.57,171.57,171.57,171.57,1711975680000,7,2024-04-01 12:48:00
2500.0,171.5799,171.5799,171.5799,171.5799,171.5799,1711975690000,1,2024-04-01 12:48:10
100.0,171.58,171.58,171.58,171.58,171.58,1711975700000,1,2024-04-01 12:48:20
284.0,171.5512,171.55,171.55,171.55,171.55,1711975710000,3,2024-04-01 12:48:30
232.0,171.58,171.58,171.58,171.58,171.58,1711975720000,2,2024-04-01 12:48:40
103.0,171.6101,171.61,171.61,171.61,171.61,1711975780000,4,2024-04-01 12:49:40
151.0,171.6201,171.6201,171.6201,171.6201,171.6201,1711975810000,1,2024-04-01 12:50:10
200.0,171.64,171.64,171.64,171.64,171.64,1711975820000,1,2024-04-01 12:50:20
